customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00032,Male,0,Yes,No,19,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,120.49,2363.88,Yes
CUST00033,Male,0,No,No,25,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,Yes,One year,No,Electronic check,86.37,2085.73,No
CUST00034,Female,0,Yes,No,13,Yes,No,DSL,No,Yes,No internet service,No,No,No,Two year,Yes,Mailed check,74.34,916.3,No
CUST00035,Female,0,No,No,15,Yes,Yes,No,Yes,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),18.0,238.57,No
CUST00036,Female,0,Yes,No,26,Yes,No,No,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,18.0,550.0,No
CUST00037,Male,0,No,Yes,26,No,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),91.83,2390.72,Yes
CUST00038,Male,1,No,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),93.46,1960.3,No
CUST00039,Female,0,Yes,No,18,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,47.73,890.51,Yes
CUST00040,Male,0,No,Yes,26,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),70.83,1835.96,No
CUST00041,Male,0,No,Yes,19,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Two year,Yes,Electronic check,68.7,1333.99,No
CUST00042,Female,1,Yes,No,28,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,Yes,Two year,No,Electronic check,75.08,2015.77,No
CUST00043,Male,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,58.84,1250.61,No
CUST00044,Female,0,Yes,No,21,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),94.46,1996.62,No
CUST00045,Male,0,No,No,28,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),103.18,2889.76,No
CUST00046,Female,0,No,Yes,23,Yes,No,DSL,No,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),41.21,1044.51,No
CUST00047,Male,0,Yes,No,17,Yes,No,DSL,No,No internet service,No,No internet service,No,Yes,Two year,Yes,Electronic check,34.17,511.94,Yes
CUST00048,Female,0,No,No,20,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No internet service,Month-to-month,Yes,Electronic check,46.12,941.02,No
CUST00049,Female,0,No,No,24,Yes,No,DSL,No internet service,No,No,No internet service,No,No,One year,Yes,Bank transfer (automatic),71.46,1749.8,No
CUST00050,Male,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,80.67,1791.88,Yes
CUST00051,Female,0,No,No,26,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),93.65,2489.85,No
CUST00052,Female,0,No,No,26,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,99.14,2546.02,Yes
CUST00053,Female,0,No,Yes,20,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,One year,No,Electronic check,80.87,1659.01,No
CUST00054,Female,0,Yes,No,17,No,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,76.89,1335.21,No
CUST00055,Female,0,No,No,28,Yes,No,DSL,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),119.47,3403.45,Yes
CUST00056,Female,1,No,No,17,Yes,No,DSL,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,70.15,1166.99,Yes
CUST00057,Male,0,No,No,26,Yes,No,DSL,Yes,No internet service,No,No internet service,No,No,One year,No,Electronic check,87.7,2220.89,Yes
CUST00058,Male,0,No,Yes,24,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),79.61,1879.21,No
CUST00059,Male,0,No,Yes,9,Yes,No,DSL,No,No internet service,No,No internet service,No,No,Two year,Yes,Mailed check,64.8,530.05,No
CUST00060,Male,1,No,Yes,17,Yes,No,DSL,No internet service,No,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),65.0,1076.75,Yes
CUST00061,Male,0,Yes,No,23,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,109.66,2505.47,Yes
CUST00062,Male,0,Yes,No,18,Yes,No,No,No,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,67.29,1165.65,No
CUST00063,Female,0,No,No,25,Yes,No,DSL,Yes,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),59.42,1485.89,No
CUST00064,Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,Yes,One year,Yes,Electronic check,47.89,994.63,No
CUST00065,Male,0,Yes,No,22,Yes,No,DSL,No internet service,No,No,No,No,No,Two year,Yes,Mailed check,82.68,1815.3,No
CUST00066,Female,0,No,No,25,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,Two year,No,Electronic check,54.64,1341.24,No
CUST00067,Male,0,No,No,22,Yes,No,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),79.95,1752.84,No
CUST00068,Female,1,Yes,No,30,Yes,No,No,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,75.33,2279.57,Yes
CUST00069,Male,0,Yes,Yes,25,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),57.18,1408.59,No
CUST00070,Female,0,Yes,Yes,22,No,No,DSL,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),28.13,579.96,Yes
CUST00071,Female,0,No,No,26,Yes,No,DSL,No,No,No,No internet service,No internet service,No,One year,Yes,Credit card (automatic),39.12,984.39,No
CUST00072,Male,0,Yes,No,24,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No,Two year,No,Mailed check,43.84,1103.32,No
CUST00073,Male,0,Yes,No,21,Yes,No,No,No internet service,No internet service,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),39.88,901.3,No
CUST00074,Female,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),83.66,2065.76,No
CUST00075,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,133.88,2000.47,Yes
CUST00076,Female,0,Yes,No,27,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),54.67,1390.87,Yes
CUST00077,Female,1,Yes,No,24,Yes,No,No,No,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,58.47,1394.18,No
CUST00078,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,52.46,1238.92,No
CUST00079,Male,0,No,No,34,No,Yes,DSL,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.73,3230.4,No
CUST00080,Male,1,Yes,Yes,21,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No internet service,One year,Yes,Bank transfer (automatic),82.79,1792.46,No
CUST00081,Female,0,Yes,No,29,Yes,Yes,DSL,No internet service,No,No,No,Yes,Yes,One year,No,Credit card (automatic),69.5,1940.41,No
CUST00082,Female,1,No,No,21,Yes,No,DSL,No internet service,No,No internet service,No,No,No internet service,One year,Yes,Credit card (automatic),33.61,660.71,No
CUST00083,Male,0,Yes,No,21,Yes,No,DSL,No,No,No,Yes,No,No internet service,Two year,Yes,Electronic check,40.97,815.52,No
CUST00084,Male,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Electronic check,75.26,1045.46,Yes
CUST00085,Male,0,Yes,No,31,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),76.7,2420.84,No
CUST00086,Male,0,No,Yes,22,Yes,Yes,DSL,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),69.52,1543.3,Yes
CUST00087,Female,0,No,No,26,No,No,Fiber optic,No internet service,No internet service,Yes,Yes,No,Yes,One year,Yes,Electronic check,89.95,2429.14,No
CUST00088,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,No internet service,Two year,No,Electronic check,33.32,816.55,No
CUST00089,Female,0,No,Yes,24,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.11,1810.03,No
CUST00090,Male,0,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),77.44,1286.11,No
CUST00091,Male,0,Yes,No,15,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,No,Electronic check,41.26,600.86,No
CUST00092,Female,1,No,Yes,19,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,Yes,One year,Yes,Electronic check,51.85,961.82,No
CUST00093,Female,0,Yes,No,28,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),90.79,2616.02,No
CUST00094,Female,0,No,No,21,Yes,No,DSL,No internet service,No,No,No,Yes,Yes,One year,No,Electronic check,35.84,761.13,No
CUST00095,Female,0,Yes,No,25,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,No,Month-to-month,No,Electronic check,143.91,3642.96,Yes
CUST00096,Female,0,No,No,17,Yes,No phone service,DSL,No internet service,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),86.67,1442.26,No
CUST00097,Female,1,Yes,No,17,Yes,No,DSL,No,No,No internet service,No,No,No,One year,No,Bank transfer (automatic),68.28,1124.5,No
CUST00098,Male,0,No,Yes,16,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,62.44,980.77,No
CUST00099,Male,0,Yes,No,10,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),93.65,970.02,No
CUST00100,Male,0,No,No,26,Yes,No,DSL,No internet service,No,No,No,No,No,Month-to-month,Yes,Electronic check,57.66,1501.71,Yes
CUST00101,Male,0,Yes,No,28,Yes,No,Fiber optic,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),58.89,1672.32,No
CUST00102,Female,0,No,No,29,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,113.58,3163.66,No
CUST00103,Male,1,Yes,No,21,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),55.85,1078.75,Yes
CUST00104,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,Yes,Two year,No,Mailed check,74.08,1670.24,No
CUST00105,Female,0,Yes,Yes,28,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Two year,No,Electronic check,47.19,1302.36,No
CUST00106,Male,0,Yes,No,28,Yes,No,Fiber optic,No,No,No internet service,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),77.77,2107.68,No
CUST00107,Male,0,No,Yes,26,Yes,No,DSL,No internet service,No internet service,No,No,No,No,Two year,Yes,Bank transfer (automatic),87.42,2357.4,No
CUST00108,Female,0,Yes,No,33,Yes,No,DSL,Yes,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),120.49,3975.1,No
CUST00109,Male,0,Yes,Yes,33,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),41.88,1392.87,No
CUST00110,Male,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Two year,Yes,Mailed check,26.56,503.27,No
CUST00111,Male,0,No,No,28,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,Yes,One year,No,Credit card (automatic),62.0,1679.95,No
CUST00112,Male,0,Yes,No,27,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),51.49,1467.79,No
CUST00113,Female,0,No,No,19,Yes,Yes,DSL,No,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,69.54,1410.38,No
CUST00114,Female,0,No,No,21,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),85.66,1819.65,No
CUST00115,Female,0,Yes,No,28,No,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),137.95,3761.01,No
CUST00116,Female,1,No,No,16,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),56.46,882.09,Yes
CUST00117,Female,0,No,No,23,Yes,No,Fiber optic,Yes,No internet service,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),18.0,429.66,No
CUST00118,Male,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No,No,One year,Yes,Bank transfer (automatic),62.86,1497.24,No
CUST00119,Female,0,Yes,No,16,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),80.52,1182.31,No
CUST00120,Female,0,No,No,34,Yes,No,No,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,40.91,1483.42,No
CUST00121,Female,0,Yes,No,22,Yes,No,DSL,No internet service,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),77.01,1652.45,No
CUST00122,Female,0,Yes,No,32,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,74.12,2304.78,No
CUST00123,Male,0,Yes,No,19,Yes,No,DSL,No,No internet service,No internet service,No,Yes,No,One year,No,Electronic check,77.8,1476.66,Yes
CUST00124,Male,0,No,No,26,Yes,No,DSL,No internet service,No,No internet service,No,No,No,Month-to-month,Yes,Electronic check,93.74,2496.45,No
CUST00125,Male,0,No,No,22,Yes,No,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.52,1511.09,No
CUST00126,Male,0,No,No,27,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,No,Electronic check,86.43,2267.83,Yes
CUST00127,Female,0,No,No,23,Yes,No,Fiber optic,No,Yes,No internet service,No,No,Yes,Two year,No,Electronic check,18.0,339.97,No
CUST00128,Female,0,Yes,No,18,No,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),41.13,630.76,Yes
CUST00129,Male,1,Yes,No,19,Yes,Yes,No,No internet service,No,No,No,Yes,No,Month-to-month,No,Mailed check,59.75,1120.67,Yes
CUST00130,Female,0,Yes,No,28,Yes,No,DSL,No,No,No,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),39.85,1092.15,Yes
CUST00131,Male,0,Yes,Yes,32,Yes,No,Fiber optic,No,No,No internet service,No,No,No,One year,Yes,Electronic check,70.2,2272.09,No
CUST00132,Male,0,No,No,22,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,59.69,1278.9,No
CUST00133,Male,1,No,No,19,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,Yes,Month-to-month,No,Electronic check,56.35,1119.34,No
CUST00134,Male,0,Yes,No,29,Yes,No,Fiber optic,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),96.51,2831.52,No
CUST00135,Female,0,Yes,No,26,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Mailed check,72.51,1848.82,No
CUST00136,Male,0,Yes,No,22,Yes,Yes,No,No,No,Yes,No,Yes,No internet service,One year,No,Electronic check,37.49,844.34,No
CUST00137,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No,Two year,No,Mailed check,51.9,1260.15,No
CUST00138,Female,0,No,No,18,Yes,No,No,No,No,No internet service,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),92.6,1618.76,No
CUST00139,Male,0,No,No,14,Yes,No,No,No,Yes,No,No,Yes,No,One year,No,Electronic check,75.99,1053.19,Yes
CUST00140,Female,0,No,No,26,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,105.88,2741.24,No
CUST00141,Female,0,No,No,20,Yes,No,DSL,Yes,Yes,No internet service,No,No,Yes,One year,Yes,Electronic check,95.4,1890.11,No
CUST00142,Male,1,Yes,Yes,24,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,58.33,1440.01,No
CUST00143,Female,0,Yes,No,18,No,Yes,DSL,No internet service,Yes,No,No internet service,No,No,Month-to-month,No,Electronic check,113.07,2079.31,Yes
CUST00144,Male,0,No,No,28,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,115.53,3255.17,No
CUST00145,Male,0,No,No,26,Yes,Yes,Fiber optic,No internet service,Yes,No,No,Yes,No,One year,No,Mailed check,18.0,485.95,No
CUST00146,Male,0,Yes,No,26,Yes,No,DSL,No,No,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),70.95,1816.59,Yes
CUST00147,Female,1,No,No,29,Yes,Yes,No,No,No internet service,Yes,No internet service,No,No,One year,No,Credit card (automatic),53.5,1568.03,No
CUST00148,Female,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),62.19,1241.73,Yes
CUST00149,Male,0,No,No,13,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,45.52,715.69,Yes
CUST00150,Male,0,No,No,22,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),41.76,986.23,Yes
CUST00151,Female,0,No,No,32,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),97.04,3153.11,Yes
CUST00152,Male,0,No,No,24,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No,Two year,Yes,Credit card (automatic),34.96,859.46,No
CUST00153,Male,0,Yes,Yes,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,72.8,1549.26,No
CUST00154,Female,0,Yes,No,24,Yes,Yes,DSL,No,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),29.53,624.21,No
CUST00155,Female,0,Yes,Yes,23,Yes,No,Fiber optic,No,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),108.08,2422.91,No
CUST00156,Male,0,Yes,Yes,28,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),70.9,1928.5,No
CUST00157,Female,1,No,No,36,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No,Month-to-month,No,Credit card (automatic),92.36,3327.88,No
CUST00158,Female,0,No,No,26,Yes,No,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),75.85,1958.02,No
CUST00159,Male,0,Yes,No,29,Yes,No,DSL,No,No,No,No internet service,No,No internet service,One year,Yes,Mailed check,62.4,1850.17,Yes
CUST00160,Female,0,No,No,25,Yes,No,DSL,Yes,No internet service,No,No,No internet service,No internet service,One year,Yes,Credit card (automatic),72.05,1752.97,No
CUST00161,Male,0,Yes,No,24,Yes,No,Fiber optic,No internet service,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),115.22,2816.61,No
CUST00162,Female,0,Yes,No,28,No,Yes,No,Yes,No,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),43.08,1165.22,No
CUST00163,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),18.0,393.1,No
CUST00164,Female,0,Yes,No,12,Yes,No,DSL,No,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,46.39,601.45,No
CUST00165,Male,0,Yes,No,26,Yes,Yes,DSL,No,No,No,No internet service,No,No,One year,Yes,Electronic check,33.73,902.21,No
CUST00166,Female,0,No,No,18,No,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,99.04,1720.15,No
CUST00167,Male,1,Yes,No,17,Yes,No,DSL,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),64.73,1153.61,No
CUST00168,Male,0,No,Yes,28,Yes,Yes,Fiber optic,Yes,No,No,No,No,No internet service,Month-to-month,No,Electronic check,94.82,2659.41,No
CUST00169,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Mailed check,70.96,1170.17,No
CUST00170,Female,0,Yes,No,23,Yes,No,DSL,No,No,No,No,No internet service,Yes,One year,Yes,Mailed check,70.26,1573.85,No
CUST00171,Female,0,Yes,No,20,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.92,1477.92,No
CUST00172,Male,0,No,No,31,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No,No,Two year,No,Bank transfer (automatic),114.4,3487.93,No
CUST00173,Female,0,Yes,Yes,24,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),75.6,1881.54,No
CUST00174,Male,0,No,Yes,19,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No internet service,Two year,Yes,Electronic check,103.28,1943.58,No
CUST00175,Female,0,No,No,29,Yes,Yes,No,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),101.35,2962.16,No
CUST00176,Male,0,No,Yes,32,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),65.1,2093.53,No
CUST00177,Female,0,No,Yes,17,Yes,Yes,DSL,No,Yes,No internet service,No internet service,Yes,No,One year,No,Mailed check,67.78,1187.55,No
CUST00178,Male,1,Yes,No,27,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,58.67,1667.74,No
CUST00179,Female,0,Yes,No,21,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),108.5,2312.29,No
CUST00180,Male,0,Yes,Yes,20,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No,Two year,Yes,Mailed check,41.77,922.53,Yes
